timestamp,user_identifier,session_id,action_type,action_details,question_id,response,score,scenario_type,message_content,option_selected,page_visited,chatbot_type
2025-09-24T22:08:02.641Z,123456,session_1758750023181_nfl4zflbz,code_entered,User entered verification code,,,,,,,home,general-ai
2025-09-24T22:08:02.711Z,123456,session_1758750023181_nfl4zflbz,code_verified,Code verification successful,,,,,,,home,general-ai
2025-09-24T22:08:02.780Z,123456,session_1758750023181_nfl4zflbz,page_visited,User reached welcome screen,,,,,,,welcome,general-ai
2025-09-24T22:08:10.121Z,123456,session_1758750023181_nfl4zflbz,chat_started,User started chat with general AI,,,,,,,welcome,general-ai
2025-09-24T22:08:10.444Z,123456,session_1758750023181_nfl4zflbz,page_visited,User entered AI chatbot page,,,,,,,ai-chatbot,general-ai
2025-09-24T22:08:10.453Z,123456,session_1758750023181_nfl4zflbz,questionnaire_started,Questionnaire started,,,,,,,ai-chatbot,general-ai
2025-09-24T22:08:17.358Z,123456,session_1758750023181_nfl4zflbz,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes, let's start"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-24T22:08:17.422Z,123456,session_1758750023181_nfl4zflbz,questionnaire_option_selected,Question: intro_question,intro_question,"Yes, let's start",,,,yes,,general-ai
2025-09-24T22:08:26.032Z,123456,session_1758750023181_nfl4zflbz,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-24T22:08:26.098Z,123456,session_1758750023181_nfl4zflbz,questionnaire_option_selected,Question: age_check,age_check,Yes,,,,yes,,general-ai
2025-09-24T22:08:29.402Z,123456,session_1758750023181_nfl4zflbz,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-24T22:08:29.466Z,123456,session_1758750023181_nfl4zflbz,questionnaire_option_selected,Question: alcohol_experience,alcohol_experience,Yes,,,,yes,,general-ai
2025-09-24T22:08:33.416Z,123456,session_1758750023181_nfl4zflbz,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes, let's do it!"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
